image_id,in_common182,proposal_count,single_candidate_count,component_candidate_count,topk_candidate_count,upper_candidate_count,final_iou,final_ari,single_iou,single_ari,component_iou,component_ari,topk_iou,topk_ari,upper_iou,upper_ari
72,False,0,0,0,0,1,0.4452926208588452,0.5431334364138787,0.0,0.0,0.0,0.0,0.0,0.0,0.4452926208588452,0.5431334364138787
73,True,2,2,1,1,5,0.46809369951062096,0.5387525261570343,0.9155837614494249,0.9323366885527588,0.15101024756005588,-0.0014227350596264815,0.14568706118332234,0.03346920060659223,0.9155837614494249,0.9323366885527588
74,True,2,2,1,1,5,0.8825061496037837,0.9166753882823306,0.881751824804646,0.9163447233061461,0.09855654921676527,0.06053457643383834,0.09680186835693119,0.057256432471091016,0.8825061496037837,0.9166753882823306
75,True,1,1,1,0,2,0.9309327483097742,0.9361867720020172,0.9312704325938472,0.9366822036916123,0.9309327483097742,0.9361867720020172,0.0,0.0,0.9312704325938472,0.9366822036916123
76,True,1,1,1,0,2,0.007284347243446176,0.42427534343714185,0.0031390049732368834,0.26306258784980985,0.007284347243446176,0.42427534343714185,0.0,0.0,0.007284347243446176,0.42427534343714185
77,True,3,3,1,2,7,0.8363225320145242,0.8837810305711854,0.8363388392053897,0.8839673048785944,0.10000961476812383,-0.03140906559289524,0.17540123947187222,0.04059946927203343,0.8363388392053897,0.8839673048785944
78,True,2,2,1,1,5,0.9180045871484436,0.9274582580916337,0.9167487684653797,0.9264316244900253,0.17897413898734682,-0.0032661951489356316,0.17576290618935503,0.010452712430795532,0.9180045871484436,0.9274582580916337
79,True,2,2,1,1,5,0.9189461996475325,0.9351162846500285,0.9136450863456858,0.9308423512498233,0.1504611250226738,-0.001100555468422304,0.14260035013107633,0.054147918909369215,0.9189461996475325,0.9351162846500285
80,True,1,1,1,0,2,0.9291055937641474,0.9508080181834173,0.9276621236943589,0.9498080138123649,0.9291055937641474,0.9508080181834173,0.0,0.0,0.9291055937641474,0.9508080181834173
81,True,3,3,3,2,8,0.931177976945173,0.9383916496105836,0.921975032002865,0.9301331582670527,0.931177976945173,0.9383916496105836,0.530796517250054,0.4463842105373223,0.931177976945173,0.9383916496105836
82,True,2,2,1,1,5,0.9146900538079061,0.9312941353116052,0.910940460746874,0.928261952709801,0.152523741182704,-0.0009477371177223512,0.14607777274337794,0.042978237084745095,0.9146900538079061,0.9312941353116052
83,True,1,1,1,0,2,0.9568466945372645,0.9635055391259477,0.9575303354661177,0.9641357419729177,0.9568466945372645,0.9635055391259477,0.0,0.0,0.9575303354661177,0.9641357419729177
84,True,2,2,1,1,5,0.9390804597566225,0.9573224792523684,0.9338890485637555,0.9536310837061683,0.10598754882796327,0.0,0.10234956841466089,0.04012840786763245,0.9390804597566225,0.9573224792523684
85,True,2,2,2,1,5,0.9195638091025743,0.9373979340508556,0.9273024523059694,0.9437044895038292,0.9195638091025743,0.9373979340508556,0.1331351224471745,-0.02294222227620835,0.9273024523059694,0.9437044895038292
86,True,2,2,2,1,5,0.9261974584442059,0.9452657002493982,0.9278058395844795,0.9466339020083201,0.9261974584442059,0.9452657002493982,0.1205646577878053,-0.004444225523389408,0.9278058395844795,0.9466339020083201
87,True,2,2,1,1,4,0.8652723735268276,0.9069471679576809,0.8268356075239306,0.8790939588431944,0.8652723735268276,0.9069471679576809,0.8277372262639459,0.8797103251433396,0.8652723735268276,0.9069471679576809
88,True,2,2,1,1,5,0.8832961664980004,0.9080329301623761,0.8932112068869266,0.9164643525219077,0.129206189188579,-0.0017288871449682183,0.13194422386663923,-0.030668457637883284,0.8932112068869266,0.9164643525219077
89,True,2,2,1,1,5,0.6566848154770617,0.7429621013807061,0.844327573240506,0.8896481953085136,0.10022625817877419,-0.003304978493046947,0.09201927205060978,0.0782033367184086,0.844327573240506,0.8896481953085136
90,True,2,2,2,1,5,0.9681323465305343,0.9727716651888142,0.9650575113195794,0.9701507809100682,0.9681323465305343,0.9727716651888142,0.17449791289253447,-0.007196792007011731,0.9681323465305343,0.9727716651888142
91,True,2,2,1,1,5,0.9475849731494171,0.9655306782267364,0.944872024325311,0.9637223459234137,0.08484245946759736,-0.004208984026511443,0.08334910122976451,0.01387266485009943,0.9475849731494171,0.9655306782267364
92,True,1,1,1,0,2,0.48598130840481796,0.5808048571687823,0.8540088795918777,0.8924375179700573,0.48598130840481796,0.5808048571687823,0.0,0.0,0.8540088795918777,0.8924375179700573
93,True,2,2,2,1,5,0.8392466053385943,0.8340458910412464,0.8421750663076786,0.8379601326173769,0.8392466053385943,0.8340458910412464,0.21062092018509251,0.0016223568006483444,0.8421750663076786,0.8379601326173769
94,True,2,2,1,1,5,0.924427810552405,0.9468929931280397,0.9205661467226954,0.9441824947704377,0.18709148015000399,0.011978109965855212,0.18874740894228975,0.026699061019872447,0.924427810552405,0.9468929931280397
95,True,2,2,1,1,5,0.42605042016210015,0.5277388462405969,0.8680351906037141,0.9050952419453954,0.10894542784127267,-0.004532750948801801,0.09890231382753076,0.09335272645368774,0.8680351906037141,0.9050952419453954
96,True,2,2,2,1,5,0.8876426223081836,0.9079983880909371,0.8811900377858204,0.9027353074097691,0.8876426223081836,0.9079983880909371,0.1462439303053949,0.060784337188638515,0.8876426223081836,0.9079983880909371
97,True,3,3,2,2,7,0.976976039653115,0.9735424045277727,0.9759002922794027,0.9723376649900481,0.976976039653115,0.9735424045277727,0.28051293431352947,-0.022655884881564187,0.976976039653115,0.9735424045277727
98,True,2,2,1,1,5,0.35999999999572696,0.4463788887633579,0.6465281899033053,0.718493663130042,0.10628330952693747,0.2211421713325043,0.0904729924204636,0.26652729931443736,0.6465281899033053,0.718493663130042
99,True,2,2,1,1,5,0.921631321364296,0.920771008733324,0.9169766986429281,0.9161077912092414,0.23367823459354503,-0.0002120004896494727,0.22750574784032265,0.019942217378743153,0.921631321364296,0.920771008733324
100,True,2,2,1,1,5,0.8421800335678397,0.8829927567031868,0.8410852713069628,0.8821631139467252,0.10278418375902564,-0.001581541651241591,0.10186166895331504,0.0071124757063164195,0.8421800335678397,0.8829927567031868
101,True,1,1,1,0,2,0.7722272550695972,0.8282289406339819,0.7749967238792426,0.8310773867816381,0.7722272550695972,0.8282289406339819,0.0,0.0,0.7749967238792426,0.8310773867816381
102,True,3,3,1,2,7,0.9630668536624352,0.9664641539389986,0.9611128428852781,0.9646920961744657,0.19543352512904957,-0.0003462194299606874,0.1945139905834089,-0.003293503097646314,0.9630668536624352,0.9664641539389986
103,True,1,1,1,0,2,0.7655821713649674,0.8186165068071402,0.7477574452727214,0.8042681958333421,0.7655821713649674,0.8186165068071402,0.0,0.0,0.7655821713649674,0.8186165068071402
