image_id,in_common182,proposal_count,selected_index,selected_score,direct_iou,direct_ari
64,True,2,0,0.8600839972496033,0.9074715130469676,0.9121289178609926
65,False,0,-1,-inf,0.0,0.0
66,True,2,0,0.8261538743972778,0.0,0.017864634450219227
67,True,1,0,0.8060184717178345,0.9614887567722734,0.9722038548572681
68,True,1,0,0.127512127161026,0.08021766378270273,-0.0031124149470371835
69,False,0,-1,-inf,0.0,0.0
70,True,2,1,0.7792291641235352,0.930868939021307,0.943501919891811
71,True,1,0,0.809700071811676,0.0024513445253244903,0.046012261898430475
72,False,0,-1,-inf,0.0,0.0
73,True,2,1,0.8392888307571411,0.46809369951062096,0.5387525261570343
74,True,2,1,0.8355900645256042,0.8825061496037837,0.9166753882823306
75,True,1,0,0.8289206624031067,0.9309327483097742,0.9361867720020172
76,True,1,0,0.6663485765457153,0.007284347243446176,0.42427534343714185
77,True,3,1,0.7522158026695251,0.8363225320145242,0.8837810305711854
78,True,2,1,0.9424229860305786,0.9180045871484436,0.9274582580916337
79,True,2,1,0.8551280498504639,0.9189461996475325,0.9351162846500285
80,True,1,0,0.8612717390060425,0.9291055937641474,0.9508080181834173
81,True,3,0,0.9416347146034241,0.931177976945173,0.9383916496105836
82,True,2,1,0.9222419261932373,0.9146900538079061,0.9312941353116052
83,True,1,0,0.825498104095459,0.9568466945372645,0.9635055391259477
84,True,2,1,0.8434860110282898,0.9390804597566225,0.9573224792523684
85,True,2,1,0.8791181445121765,0.9195638091025743,0.9373979340508556
86,True,2,1,0.822695255279541,0.9261974584442059,0.9452657002493982
87,True,2,0,0.7975549697875977,0.8641013151345333,0.9061427390438362
88,True,2,1,0.8195459246635437,0.8832961664980004,0.9080329301623761
89,True,2,1,0.8808221817016602,0.6566848154770617,0.7429621013807061
90,True,2,1,0.8921866416931152,0.9681323465305343,0.9727716651888142
91,True,2,1,0.8890722990036011,0.9475849731494171,0.9655306782267364
92,True,1,0,0.9010119438171387,0.48598130840481796,0.5808048571687823
93,True,2,0,0.9476876854896545,0.8392466053385943,0.8340458910412464
94,True,2,0,0.8549394607543945,0.924427810552405,0.9468929931280397
95,True,2,1,0.8604195713996887,0.42605042016210015,0.5277388462405969
96,True,2,1,0.9233900904655457,0.8876426223081836,0.9079983880909371
97,True,3,1,0.9072201251983643,0.976976039653115,0.9735424045277727
98,True,2,1,0.7076494693756104,0.35999999999572696,0.4463788887633579
